image_path,reference,infer,reference_tokens_jieba,infer_tokens_jieba,reference_tokens,infer_tokens,BLEU1,BLEU2,BLEU2s,BLEU3,BLEU3s,BLEU4,BLEU4s,METEOR,R-1R,R-1P,R-1F,R-2R,R-2P,R-2F,R-LR,R-LP,R-LF,jiebaB1,jiebaB2,jiebaB2s,jiebaB3,jiebaB3s,jiebaB4,jiebaB4s,jiebaM,jiebaR-1R,jiebaR-1P,jiebaR-1F,jiebaR-2R,jiebaR-2P,jiebaR-2F,jiebaR-LR,jiebaR-LP,jiebaR-LF,grs
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1361.png,储层碎屑成分薄片特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1870.png,杂岩的岩相学特征及剖面图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1664.png,变质沉积岩野外特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1759.png,断裂岩显微结构特征样品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_374.png,岩石偏光显微镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1620.png,杂岩体的野外照片和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1113.png,碳酸岩围岩的构造样式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1424.png,榴辉岩样品的岩相学特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1263.png,闪锌矿矿石的手标本及镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_307.png,花岗质浅色脉体阴极发光图像及定年结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1452.png,样品岩心和显微结构照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_495.png,糜棱岩原岩的微观结构特征,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1023.png,表性野外露头照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_838.png,主要岩性手标本及其对应镜下照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_543.png,杂岩体正交偏光显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1743.png,淡色花岗岩野外露头和显微照片,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
