image_path,text
D:\code\vit-gpt2\bigdata\geoimage_data\geo_0.png,片麻岩的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1.png,正长岩与闪长岩混合的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_2.png,正长岩和闪长岩的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_3.png,花岗岩的野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_4.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_5.png,榴辉岩和花岗片麻岩中的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_6.png,表性锆石形态和内部结构
D:\code\vit-gpt2\bigdata\geoimage_data\geo_7.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_8.png,闪长岩的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_9.png,花岗岩中的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_10.png,表性锆石阴极发光照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_11.png,花岗岩锆石同位素组成
D:\code\vit-gpt2\bigdata\geoimage_data\geo_12.png,花岗岩锆石同位素特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_13.png,花岗岩的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_14.png,花岗岩的锆石图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_15.png,锆石的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_16.png,单元暗色微粒包体
D:\code\vit-gpt2\bigdata\geoimage_data\geo_17.png,含石英闪长岩锆石的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_18.png,闪长岩锆石的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_19.png,含石英闪长岩锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_20.png,闪长岩锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_21.png,闪长岩变形的组构和矿物的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_22.png,沉积和构造特征的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_23.png,野外流纹岩的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_24.png,各种岩石的镜下照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_25.png,高镁英安岩锆石特征和测点位置
D:\code\vit-gpt2\bigdata\geoimage_data\geo_26.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_27.png,字型石英脉的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_28.png,断裂中的右行剪切
D:\code\vit-gpt2\bigdata\geoimage_data\geo_29.png,蛇绿混杂岩带的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_30.png,玄武岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_31.png,玄武玻璃的分带的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_32.png,麻粒岩捕虏体的结构特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_33.png,斜方辉石成因的判别图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_34.png,单斜辉石成分的变化图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_35.png,石榴二辉橄榄岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_36.png,微生物岩的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_37.png,微生物岩的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_38.png,酸性岩墙群的野外露头和显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_39.png,埃达克岩的锆石电镜照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_40.png,藏多不杂富金斑岩铜矿脉系的特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_41.png,中砂岩碎屑类型的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_42.png,中砂岩碎屑类型的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_43.png,变形花岗岩的野外露头照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_44.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_45.png,岩中部分的锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_46.png,花岗质杂岩中锆石的背散射图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_47.png,表性锆石颗粒的背散射
D:\code\vit-gpt2\bigdata\geoimage_data\geo_48.png,古田小陶花岗岩中锆石的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_49.png,表性岩浆的锆石背散射电子
D:\code\vit-gpt2\bigdata\geoimage_data\geo_50.png,玄武岩的空间分布
D:\code\vit-gpt2\bigdata\geoimage_data\geo_51.png,二叠纪玄武岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_52.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_53.png,玄武岩的岩相学照片和显微图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_54.png,流纹岩的包体照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_55.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_56.png,长英质副片麻岩锆石的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_57.png,片麻岩锆石的定年结果
D:\code\vit-gpt2\bigdata\geoimage_data\geo_58.png,副片麻岩原岩的构造环境判别图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_59.png,钾长花岗岩的构造环境
D:\code\vit-gpt2\bigdata\geoimage_data\geo_60.png,表性锆石的阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_61.png,大别榴辉岩的岩相学显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_62.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_63.png,岩相特征的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_64.png,岩石样本的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_65.png,泥晶微晶白云岩的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_66.png,白云岩白云石的照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_67.png,白云岩的阴极发光照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_68.png,铬铁矿矿体的野外照片
