image_path,text
D:\code\vit-gpt2\bigdata\geoimage_data\geo_0.png,宜阳质片麻岩锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_1.png,岩体正长岩与闪长岩混合作用
D:\code\vit-gpt2\bigdata\geoimage_data\geo_2.png,正长岩和闪长岩中锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_3.png,岩体二长花岗岩中基性微粒包体的野外照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_4.png,锆石阴极发光图象黑色圆圈为激光剥蚀位置
D:\code\vit-gpt2\bigdata\geoimage_data\geo_5.png,超高压榴辉岩和花岗片麻岩中锆石图像图中数字表示
D:\code\vit-gpt2\bigdata\geoimage_data\geo_6.png,表性锆石形态和内部结构
D:\code\vit-gpt2\bigdata\geoimage_data\geo_7.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_8.png,宫家辉长闪长岩锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_9.png,花岗岩中锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_10.png,表性锆石阴极发光照片及其年龄和值图片和来自等
D:\code\vit-gpt2\bigdata\geoimage_data\geo_11.png,花岗岩锆石同位素组成
D:\code\vit-gpt2\bigdata\geoimage_data\geo_12.png,花岗岩锆石同位素特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_13.png,花岗岩的锆石图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_14.png,花岗岩的锆石图说明见正文
D:\code\vit-gpt2\bigdata\geoimage_data\geo_15.png,锆石的图像示总体为振荡环带的核和薄的低
D:\code\vit-gpt2\bigdata\geoimage_data\geo_16.png,官庄单元暗色微粒包体
D:\code\vit-gpt2\bigdata\geoimage_data\geo_17.png,含石英闪长岩锆石的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_18.png,门闪长岩锆石的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_19.png,含石英闪长岩锆石的阴极发光图像及
D:\code\vit-gpt2\bigdata\geoimage_data\geo_20.png,门闪长岩锆石的阴极发光图像及
D:\code\vit-gpt2\bigdata\geoimage_data\geo_21.png,闪长岩脉岩脉变形的组构以及新生成的白云母和绢云母矿物的野外照片和显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_22.png,上侏罗统土城子组沉积和构造特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_23.png,野外照片滦平郝营张家口组流纹岩滦平郝营下白垩统张家口组流纹岩不整合覆于上侏罗统土城子组之上
D:\code\vit-gpt2\bigdata\geoimage_data\geo_24.png,尾亚岩浆混合作用各种岩石的镜下照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_25.png,高镁英安岩锆石特征和测点位置
D:\code\vit-gpt2\bigdata\geoimage_data\geo_26.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_27.png,字型石英脉
D:\code\vit-gpt2\bigdata\geoimage_data\geo_28.png,巨型构造透镜体两侧断裂中的右行剪切
D:\code\vit-gpt2\bigdata\geoimage_data\geo_29.png,蛇绿混杂岩带的照片显示主要由超基性岩块和蛇纹岩组成的负地形橄榄岩透镜体以及
D:\code\vit-gpt2\bigdata\geoimage_data\geo_30.png,橄榄玄武岩及含菱铁矿橄榄玄武岩显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_31.png,与菱铁矿共生玄武玻璃的分带注意菱铁矿暗色
D:\code\vit-gpt2\bigdata\geoimage_data\geo_32.png,麻粒岩捕虏体的结构特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_33.png,斜方辉石成因判别图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_34.png,单斜辉石成分变化图资料来源橄榄岩来源于池尚际
D:\code\vit-gpt2\bigdata\geoimage_data\geo_35.png,石榴二辉橄榄岩显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_36.png,二叠系三叠系界线地层的微生物岩
D:\code\vit-gpt2\bigdata\geoimage_data\geo_37.png,二叠系三叠系界线地层微生物岩的微观特征和微生物化石特征说明见页
D:\code\vit-gpt2\bigdata\geoimage_data\geo_38.png,酸性岩墙群的野外露头和显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_39.png,埃达克岩锆石电镜照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_40.png,藏多不杂富金斑岩铜矿脉系特征
D:\code\vit-gpt2\bigdata\geoimage_data\geo_41.png,中砂岩碎屑类型显微照片照片宽度为正交偏光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_42.png,中砂岩碎屑类型显微照片照片宽度为正交偏光
D:\code\vit-gpt2\bigdata\geoimage_data\geo_43.png,变形花岗岩野外露头
D:\code\vit-gpt2\bigdata\geoimage_data\geo_44.png,表性锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_45.png,岩中部分锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_46.png,富城花岗质杂岩中锆石的背散射图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_47.png,表性锆石颗粒的背散射
D:\code\vit-gpt2\bigdata\geoimage_data\geo_48.png,古田小陶花岗岩中锆石的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_49.png,表性岩浆锆石背散射电子
D:\code\vit-gpt2\bigdata\geoimage_data\geo_50.png,达木斯另一剖面玄武岩空间分布
D:\code\vit-gpt2\bigdata\geoimage_data\geo_51.png,二叠纪玄武岩的显微照片
D:\code\vit-gpt2\bigdata\geoimage_data\geo_52.png,样品锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_53.png,呼兰霍博克玄武岩的岩相学照片和电子显微镜图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_54.png,流纹岩包体照片手标本照片显微镜下照
D:\code\vit-gpt2\bigdata\geoimage_data\geo_55.png,锆石阴极发光图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_56.png,长英质副片麻岩锆石的图像
D:\code\vit-gpt2\bigdata\geoimage_data\geo_57.png,片麻岩锆石的定年结果
D:\code\vit-gpt2\bigdata\geoimage_data\geo_58.png,副片麻岩原岩的构造环境判别图
D:\code\vit-gpt2\bigdata\geoimage_data\geo_59.png,钾长花岗岩的构造环境判别图解图解和图解
D:\code\vit-gpt2\bigdata\geoimage_data\geo_60.png,表性锆石的阴极发光图像及测点位置图中短白线为标尺长度为
D:\code\vit-gpt2\bigdata\geoimage_data\geo_61.png,大别榴辉岩岩相学显微照片
